A,0,code|1,code|1|type,code|2,code|2|type,code|3,code|3|type,provider,drug_unit,drug_type,modifiers,description,setting,gross_charge,discounted_cash,minimum,maximum,additional_generic_notes,billing_class,payer_name,plan_name,standard_charge_dollar,methodology,additional_payer_notes,standard_charge_percentage,count
,A,PAC58558,CDM,510,RC,58558,HCPCS,Mount Sinai Queens,0.0,null,,HC Hysteroscopy Bx Endometrium&/Polypc W/WO D&C,both,6900.0,,,,Gross Charge Type: standard,facility,,,,,,,
,A,5105855801,CDM,510,RC,58558,HCPCS,Mount Sinai Queens,0.0,null,,HC Hysteroscopy Bx Endometrium&/Polypc W/WO D&C,both,6900.0,,,,Gross Charge Type: standard,facility,,,,,,,
,A,PAC58558,CDM,510,RC,58558,HCPCS,Mount Sinai Morningside,0.0,null,,HC Hysteroscopy Bx Endometrium&/Polypc W/WO D&C,both,6900.0,,,,Gross Charge Type: FS 870,facility,,,,,,,
,A,5105855801,CDM,510,RC,58558,HCPCS,Mount Sinai Morningside,0.0,null,,HC Hysteroscopy Bx Endometrium&/Polypc W/WO D&C,both,6900.0,,,,Gross Charge Type: FS 870,facility,,,,,,,
,A,PAC58558,CDM,0510,RC,58558,HCPCS,Mount Sinai Brooklyn,0.0,null,,HC Hysteroscopy Bx Endometrium&/Polypc W/WO D&C,both,6900.0,,,,Gross Charge Type: FS 870,facility,,,,,,,
,A,5105855801,CDM,0510,RC,58558,HCPCS,Mount Sinai Brooklyn,0.0,null,,HC Hysteroscopy Bx Endometrium&/Polypc W/WO D&C,both,6900.0,,,,Gross Charge Type: FS 870,facility,,,,,,,
,A,PAC58558,CDM,0510,RC,58558,HCPCS,Mount Sinai BH,0.0,null,,HC Hysteroscopy Bx Endometrium&/Polypc W/WO D&C,both,6900.0,,,,Gross Charge Type: FS 870,facility,,,,,,,
,A,5105855801,CDM,0510,RC,58558,HCPCS,Mount Sinai BH,0.0,null,,HC Hysteroscopy Bx Endometrium&/Polypc W/WO D&C,both,6900.0,,,,Gross Charge Type: FS 870,facility,,,,,,,
,A,PAC58558,CDM,0510,RC,58558,HCPCS,Mount Sinai Hospital,0.0,null,,HC Hysteroscopy Bx Endometrium&/Polypc W/WO D&C,both,6900.00,,,,,facility,,,,,,,
,A,5105855801,CDM,0510,RC,58558,HCPCS,Mount Sinai Hospital,0.0,null,,HC Hysteroscopy Bx Endometrium&/Polypc W/WO D&C,both,6900.00,,,,,facility,,,,,,,
,,58558,CPT,null,null,null,null,NYP Queens,0.0,null,,HYSTEROSCOPY BX ENDOMETRIUMAND-POLYPC W-WO DANDC,outpatient,10527.5,,1113.25,8639.64,,,1199SEIU Funds,All Commercial Plans,2417.0,case rate,Multiple procedures performed on the same day plan will pay 100% for the primary procedure and 50% for remaining procedures,,
,,58558,CPT,null,null,null,null,NYP Queens,0.0,null,,HYSTEROSCOPY BX ENDOMETRIUMAND-POLYPC W-WO DANDC,outpatient,10527.5,,1113.25,8639.64,,,Aetna,Commercial,6567.25,case rate,,,
,,58558,CPT,null,null,null,null,NYP Queens,0.0,null,,HYSTEROSCOPY BX ENDOMETRIUMAND-POLYPC W-WO DANDC,outpatient,10527.5,,1113.25,8639.64,,,Anthem BCBS,All Commercial Plans,8639.64,case rate,"Multiple procedures performed on the same day, plan will pay 100% of payment rate for procedure with the highest payment rate and 50% of the rate for the next highest, and 25% of the rate otherwise apply to additional outpatient surgery services.",,
,,58558,CPT,null,null,null,null,NYP Queens,0.0,null,,HYSTEROSCOPY BX ENDOMETRIUMAND-POLYPC W-WO DANDC,outpatient,10527.5,,1113.25,8639.64,,,Cigna Healthcare,All Commercial Plans,7678.27,case rate,Multiple procedures performed on the same day plan will pay 100% for the primary procedure and 50% for remaining procedures,,
,,58558,CPT,null,null,null,null,NYP Queens,0.0,null,,HYSTEROSCOPY BX ENDOMETRIUMAND-POLYPC W-WO DANDC,outpatient,10527.5,,1113.25,8639.64,,,EmblemHealth,All Commercial Plans,7993.06,case rate,,,
,,58558,CPT,null,null,null,null,NYP Queens,0.0,null,,HYSTEROSCOPY BX ENDOMETRIUMAND-POLYPC W-WO DANDC,outpatient,10527.5,,1113.25,8639.64,,,EmblemHealth,All NYS Essential Plans,4181.82,case rate,,,
,,58558,CPT,null,null,null,null,NYP Queens,0.0,null,,HYSTEROSCOPY BX ENDOMETRIUMAND-POLYPC W-WO DANDC,outpatient,10527.5,,1113.25,8639.64,,,Oxford Health Plans,All Commercial Plans,5787.6,case rate,"Multiple procedures performed on the same day, plan will pay 100% of payment rate for procedure with the highest payment rate and 50% of the rate that would otherwise apply to additional outpatient surgery services.",,
,,58558,CPT,null,null,null,null,NYP Queens,0.0,null,,HYSTEROSCOPY BX ENDOMETRIUMAND-POLYPC W-WO DANDC,outpatient,10527.5,,1113.25,8639.64,,,United Healthcare,All Commercial Plans,6210.0,case rate,Multiple procedures performed on the same day plan will pay 100% for the primary procedure and 50% for remaining procedures.,,
,,58558,CPT,null,null,null,null,NYP Queens,0.0,null,,HYSTEROSCOPY BX ENDOMETRIUMAND-POLYPC W-WO DANDC,outpatient,10527.5,,1113.25,8639.64,,,United Healthcare,nystateofhealth plans,6210.0,case rate,Multiple procedures performed on the same day plan will pay 100% for the primary procedure and 50% for remaining procedures.,,
,,58558,CPT,null,null,null,null,NYP Queens,0.0,null,,HYSTEROSCOPY BX ENDOMETRIUMAND-POLYPC W-WO DANDC,outpatient,10527.5,,1113.25,8639.64,,,Aetna,Medicare Advantage,3875.21,fee schedule,,,
,,58558,CPT,null,null,null,null,NYP Queens,0.0,null,,HYSTEROSCOPY BX ENDOMETRIUMAND-POLYPC W-WO DANDC,outpatient,10527.5,,1113.25,8639.64,,,Anthem BCBS,Medicare Advantage,3574.22,fee schedule,,,
,,58558,CPT,null,null,null,null,NYP Queens,0.0,null,,HYSTEROSCOPY BX ENDOMETRIUMAND-POLYPC W-WO DANDC,outpatient,10527.5,,1113.25,8639.64,,,Anthem BCBS Healthplus,Medicare Advantage,3574.22,fee schedule,,,
,,58558,CPT,null,null,null,null,NYP Queens,0.0,null,,HYSTEROSCOPY BX ENDOMETRIUMAND-POLYPC W-WO DANDC,outpatient,10527.5,,1113.25,8639.64,,,Cigna Healthcare,Medicare Advantage,3762.34,fee schedule,,,
